Channel,RX (MHz),TX (MHz),System,Band Plan,Purpose,Frequency (MHz),Bandwidth,Satellite Name,Satellite Position,Comments,Modulation,Usage
222,249.49,312.85,UHF military,225-328.6 MHz,Military communications,249.49,,Skynet 5B,,,,
223,249.53,298.8,UHF military,225-328.6 MHz,Military communications,249.53,,Skynet 5C,,,,
224,249.56,298.76,UHF military,225-328.6 MHz,Military communications,249.56,,Skynet 5B,,,,
225,249.58,298.74,UHF military,225-328.6 MHz,Military communications,249.58,,Skynet 5B,,,,
226,249.8,295.0,UHF military,225-328.6 MHz,Military communications,249.8,,Skynet 4C,,,,
227,250.35,294.875,UHF military,225-328.6 MHz,Military communications,250.35,,,,,,
228,250.7,295.05,UHF military,225-328.6 MHz,Military communications,250.7,,UFO 11,,,,
229,252.2,315.25,UHF military,225-328.6 MHz,Military communications,252.2,,Sicral 1B,,,,
230,252.4,293.275,UHF military,225-328.6 MHz,Military communications,252.4,,Sicral 1B,,,,
231,252.55,293.2,UHF military,225-328.6 MHz,Military communications,252.55,,Sicral 1B,,,,
232,252.625,311.45,UHF military,225-328.6 MHz,Military communications,252.625,,Sicral 1B,,,,
233,252.75,306.3,UHF military,225-328.6 MHz,Military communications,252.75,,Skynet 5B,,,,
234,253.3,307.8,UHF military,225-328.6 MHz,Military communications,253.3,,Skynet 5B,,,,
235,253.6,316.25,UHF military,225-328.6 MHz,Military communications,253.6,,Sicral 2?,,,,
236,253.675,294.425,UHF military,225-328.6 MHz,Military communications,253.675,,,,,,
237,253.725,294.05,UHF military,225-328.6 MHz,Military communications,253.725,,Intelsat 22,,,,
238,253.825,294.05,UHF military,225-328.6 MHz,Military communications,253.825,,Skynet 5C,,,,
239,253.95,312.8,UHF military,225-328.6 MHz,Military communications,253.95,,Skynet 5D,,,,
240,253.975,294.975,UHF military,225-328.6 MHz,Military communications,253.975,,Intelsat 22,,,,
241,254.5,308.1,UHF military,225-328.6 MHz,Military communications,254.5,,Intelsat 22,,,,
242,254.53,308.13,UHF military,225-328.6 MHz,Military communications,254.53,,Intelsat 22,,,,
243,254.625,295.625,UHF military,225-328.6 MHz,Military communications,254.625,,Intelsat 22,,,,
244,254.775,317.825,UHF military,225-328.6 MHz,Military communications,254.775,,,,,,
245,255.1,318.175,UHF military,225-328.6 MHz,Military communications,255.1,,Sicral 2?,,,,
246,255.25,296.25,UHF military,225-328.6 MHz,Military communications,255.25,,UFO 11,,,,
247,255.275,297.4,UHF military,225-328.6 MHz,Military communications,255.275,,,,,,
248,255.65,296.65,UHF military,225-328.6 MHz,Military communications,255.65,,Intelsat 22,,,,
249,255.675,296.675,UHF military,225-328.6 MHz,Military communications,255.675,,Intelsat 22,,,,
250,255.85,296.85,UHF military,225-328.6 MHz,Military communications,255.85,,Intelsat 22,,,,
251,256.975,316.85,UHF military,225-328.6 MHz,Military communications,256.975,,Intelsat 22,,,,
252,257.075,297.45,UHF military,225-328.6 MHz,Military communications,257.075,,,,,,
253,257.14,298.14,UHF military,225-328.6 MHz,Military communications,257.14,,FLT 8,,,,
254,257.175,298.125,UHF military,225-328.6 MHz,Military communications,257.175,,UFO 11,,,,
255,257.19,298.14,UHF military,225-328.6 MHz,Military communications,257.19,,FLT 8,,,,
256,257.25,316.9,UHF military,225-328.6 MHz,Military communications,257.25,,Sicral 2,,,,
257,257.45,305.95,UHF military,225-328.6 MHz,Military communications,257.45,,Skynet 5C,,,,
258,257.6,305.95,UHF military,225-328.6 MHz,Military communications,257.6,,Skynet 5A,,,,
259,257.75,308.4,UHF military,225-328.6 MHz,Military communications,257.75,,Skynet 4C,,,,
260,258.225,299.3,UHF military,225-328.6 MHz,Military communications,258.225,,UFO 2,,,,
261,258.6,294.825,UHF military,225-328.6 MHz,Military communications,258.6,,UFO 11,,,,
262,258.7,312.9,UHF military,225-328.6 MHz,Military communications,258.7,,Skynet 4C,,,,
263,259.05,307.45,UHF military,225-328.6 MHz,Military communications,259.05,,,,,,
264,259.975,309.7,UHF military,225-328.6 MHz,Military communications,259.975,,,,,,
265,260.175,309.875,UHF military,225-328.6 MHz,Military communications,260.175,,Sicral 1B,,,,
266,260.25,314.4,UHF military,225-328.6 MHz,Military communications,260.25,,Sicral 5B,,,,
267,260.375,293.975,UHF military,225-328.6 MHz,Military communications,260.375,,UFO 11,,,,
268,260.45,297.575,UHF military,225-328.6 MHz,Military communications,260.45,,UFO 11,,,,
269,260.5,317.13,UHF military,225-328.6 MHz,Military communications,260.5,,UFO 11,,,,
270,260.55,293.8,UHF military,225-328.6 MHz,Military communications,260.55,,Intelsat 22,,,,
271,260.65,297.1,UHF military,225-328.6 MHz,Military communications,260.65,,,,,,
272,260.9,313.05,UHF military,225-328.6 MHz,Military communications,260.9,,Skynet 5D,,,,
273,260.95,299.4,UHF military,225-328.6 MHz,Military communications,260.95,,UFO 7,,,,
274,261.4,316.55,UHF military,225-328.6 MHz,Military communications,261.4,,Skynet 4C,,,,
275,261.575,295.175,UHF military,225-328.6 MHz,Military communications,261.575,,UFO 11,,,,
276,261.6,306.975,UHF military,225-328.6 MHz,Military communications,261.6,,Intelsat 22,,,,
277,261.625,295.225,UHF military,225-328.6 MHz,Military communications,261.625,,UFO 10,,,,
278,261.65,309.65,UHF military,225-328.6 MHz,Military communications,261.65,,Intelsat 22,,,,
279,261.675,295.275,UHF military,225-328.6 MHz,Military communications,261.675,,UFO 11,,,,
280,261.7,296.525,UHF military,225-328.6 MHz,Military communications,261.7,,UFO 11,,,,
281,261.725,307.075,UHF military,225-328.6 MHz,Military communications,261.725,,UFO 10,,,,
282,261.775,307.075,UHF military,225-328.6 MHz,Military communications,261.775,,UFO 11,,,,
283,261.825,295.425,UHF military,225-328.6 MHz,Military communications,261.825,,UFO 10,,,,
284,261.85,300.275,UHF military,225-328.6 MHz,Military communications,261.85,,Intelsat 22,,,,
285,261.875,295.475,UHF military,225-328.6 MHz,Military communications,261.875,,UFO 11,,,,
286,261.9,316.825,UHF military,225-328.6 MHz,Military communications,261.9,,,,,,
287,261.925,295.525,UHF military,225-328.6 MHz,Military communications,261.925,,UFO 10,,,,
288,261.95,294.625,UHF military,225-328.6 MHz,Military communications,261.95,,UFO 11,,,,
289,261.975,294.0,UHF military,225-328.6 MHz,Military communications,261.975,,UFO 11,,,,
290,262.025,316.65,UHF military,225-328.6 MHz,Military communications,262.025,,Intelsat 22?,,,,
291,262.15,295.75,UHF military,225-328.6 MHz,Military communications,262.15,,FLT 8,,,,
292,262.3,295.9,UHF military,225-328.6 MHz,Military communications,262.3,,FLT 8,,,,
293,263.4,316.4,UHF military,225-328.6 MHz,Military communications,263.4,,Skynet 5B,,,,
294,263.5,315.2,UHF military,225-328.6 MHz,Military communications,263.5,,Skynet 5B,,,,
295,263.725,298.525,UHF military,225-328.6 MHz,Military communications,263.725,,UFO 11,,,,
296,263.75,317.15,UHF military,225-328.6 MHz,Military communications,263.75,,UFO 11,,,,
297,263.8,297.25,UHF military,225-328.6 MHz,Military communications,263.8,,UFO 11,,,,
298,265.325,295.1,UHF military,225-328.6 MHz,Military communications,265.325,,UFO 11,,,,
299,265.375,295.2,UHF military,225-328.6 MHz,Military communications,265.375,,UFO 11,,,,
300,265.475,295.5,UHF military,225-328.6 MHz,Military communications,265.475,,UFO 11,,,,
301,266.975,297.5,UHF military,225-328.6 MHz,Military communications,266.975,,UFO 11,,,,
302,267.575,297.625,UHF military,225-328.6 MHz,Military communications,267.575,,UFO 11,,,,
303,267.95,310.075,UHF military,225-328.6 MHz,Military communications,267.95,,Sicral 1B,,,,
304,268.0,310.5,UHF military,225-328.6 MHz,Military communications,268.0,,Sicral 1B,,,,
305,268.05,309.95,UHF military,225-328.6 MHz,Military communications,268.05,,,,,,
306,268.1,293.325,UHF military,225-328.6 MHz,Military communications,268.1,,Sicral 1B,,,,
307,268.45,297.15,UHF military,225-328.6 MHz,Military communications,268.45,,UFO 11,,,,
308,269.725,295.15,UHF military,225-328.6 MHz,Military communications,269.725,,UFO 11,,,,
